Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,4.5 (4.1-4.9),2.9 (2.7-3.1),7.4 (6.8-8.0)
Andhra_Pradesh,4.1 (2.4-5.8),2.6 (1.5-3.8),6.7 (3.9-9.5)
Bihar,5.5 (4.3-6.8),2.2 (1.7-2.8),7.8 (6.0-9.5)
Chhattisgarh,8.9 (6.6-11.3),5.4 (3.8-7.0),14.2 (10.4-18.1)
Delhi,2.6 (1.9-3.4),1.3 (0.9-1.7),3.9 (2.8-5.1)
Gujarat,1.7 (1.0-2.5),1.8 (1.1-2.7),3.6 (2.1-5.2)
Haryana,7.1 (5.4-9.0),1.2 (0.9-1.6),8.3 (6.2-10.5)
Jharkhand,5.6 (3.6-7.5),2.5 (1.5-3.6),8.1 (5.1-11.0)
Karnataka,4.7 (3.5-6.1),4.9 (3.5-6.4),9.6 (6.9-12.5)
Kerala,3.6 (1.9-5.4),4.7 (2.4-7.2),8.4 (4.4-12.6)
Madhya_Pradesh,5.1 (3.1-7.3),1.7 (1.0-2.6),6.9 (4.1-9.9)
Maharashtra,2.8 (2.0-3.6),2.6 (1.8-3.4),5.3 (3.7-7.0)
Odisha,6.5 (4.4-8.6),3.0 (1.9-4.3),9.5 (6.3-12.8)
Punjab,4.2 (3.2-5.3),3.5 (2.6-4.5),7.7 (5.7-9.8)
Rajasthan,4.9 (4.0-6.0),3.0 (2.3-3.7),7.9 (6.3-9.7)
Tamil_Nadu,7.2 (6.1-8.5),3.8 (3.1-4.5),11.0 (9.3-12.9)
Telangana,3.8 (2.8-4.9),3.8 (2.8-5.0),7.7 (5.6-9.8)
Uttar_Pradesh,4.4 (3.7-5.0),2.7 (2.3-3.2),7.1 (6.0-8.2)
West_Bengal,5.3 (3.1-7.4),2.8 (1.5-4.0),8.0 (4.7-11.4)
