Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,90.64526% (87.0003%-94.742830%),80.19912% (75.1375%-85.946815%),78.56448% (73.3255%-84.519158%),71.69544% (65.3539%-78.965786%),6.22696% (5.8117%-6.698924%),65.47989% (59.5337%-72.253840%),61.94368% (56.4558%-68.232147%),56.15615% (51.1815%-61.856684%)
Andhra_Pradesh,91.61830% (86.6049%-95.970667%),84.00130% (76.2387%-91.107943%),80.74515% (71.4479%-89.009154%),74.56347% (62.5823%-85.287196%),6.55260% (5.7981%-7.223239%),68.01441% (56.7802%-78.082898%),67.70784% (56.8057%-77.467114%),63.21553% (53.0430%-72.321261%)
Bihar,90.29091% (85.9222%-94.695945%),77.17344% (69.8051%-84.617901%),75.64715% (67.7469%-83.517365%),70.63986% (61.4950%-79.909049%),5.52134% (4.9447%-6.095768%),65.12471% (56.5259%-73.838646%),58.11784% (50.5888%-65.749672%),52.43776% (45.6441%-59.324298%)
Chhattisgarh,84.20562% (77.5640%-90.848144%),63.57135% (53.4349%-74.522080%),62.35623% (51.9769%-73.531958%),52.17383% (39.5841%-65.779606%),6.50082% (5.4187%-7.665920%),45.66499% (34.1374%-58.152367%),50.59678% (38.3752%-63.805551%),47.38964% (35.9501%-59.751887%)
Delhi,94.74559% (91.7888%-97.337658%),88.10907% (82.7205%-92.567585%),87.47016% (81.8662%-92.168245%),84.21449% (77.3315%-89.920739%),6.07769% (5.6883%-6.404127%),78.13934% (71.6601%-83.523993%),63.36687% (58.1816%-67.666303%),53.17952% (48.8244%-56.791281%)
Gujarat,95.16030% (91.7794%-97.721289%),91.14433% (85.8997%-95.407293%),90.31183% (84.6651%-94.885907%),85.25819% (77.1905%-92.051634%),9.08111% (8.5133%-9.541045%),76.19103% (68.6451%-82.516748%),80.98010% (73.3138%-87.435270%),72.42083% (65.5651%-78.193506%)
Haryana,89.54998% (84.8425%-94.241464%),87.24450% (82.0581%-92.373009%),71.01417% (62.0086%-79.970597%),68.48122% (58.7420%-78.061500%),6.07687% (5.3062%-6.843294%),62.39339% (53.4334%-71.220435%),59.77259% (51.2680%-68.139464%),53.97517% (46.2944%-61.531760%)
Jharkhand,89.89522% (84.5700%-94.712503%),75.54240% (65.8313%-84.680329%),75.05447% (65.0980%-84.320330%),69.40414% (57.4450%-80.664006%),5.92576% (5.1397%-6.657327%),63.46778% (52.3085%-73.969325%),61.89902% (51.2168%-71.956174%),57.69254% (47.7349%-67.067425%)
Karnataka,88.47298% (83.1052%-93.570903%),81.84331% (74.9153%-88.286803%),76.39317% (68.2702%-84.137866%),65.14427% (53.9997%-75.980396%),6.23148% (5.5689%-6.863221%),58.92950% (48.4537%-69.118502%),57.25204% (47.4265%-66.808361%),50.45187% (41.8028%-58.863193%)
Kerala,89.71990% (83.2129%-95.168234%),81.73391% (72.0817%-90.605386%),80.11911% (69.8726%-89.729284%),68.73306% (53.7871%-83.743135%),6.27901% (5.4760%-7.032172%),62.42229% (48.3579%-76.702193%),61.50450% (48.0796%-75.002270%),57.28247% (44.7881%-69.841575%)
Madhya_Pradesh,91.31731% (86.0683%-95.693721%),80.02264% (70.6388%-88.658689%),77.72287% (67.3543%-87.400119%),73.67149% (61.4917%-84.929307%),6.46170% (5.5997%-7.266244%),67.20167% (55.9233%-77.652951%),65.53130% (54.6853%-75.556270%),59.00975% (49.2393%-68.040861%)
Maharashtra,93.04586% (89.2278%-96.296309%),86.61824% (80.5450%-91.584154%),85.44704% (78.9707%-90.665237%),78.94351% (70.1308%-86.325334%),7.50645% (6.9375%-7.964865%),71.42479% (63.2139%-78.318283%),69.90948% (62.0944%-76.454218%),63.26365% (56.1946%-69.183970%)
Odisha,88.51985% (82.8045%-94.090161%),73.34885% (63.6337%-83.575931%),71.82831% (61.6819%-82.545217%),65.34070% (53.2668%-77.987349%),5.63615% (4.8400%-6.477074%),59.70893% (48.4433%-71.497563%),59.81222% (48.7321%-71.423239%),55.23676% (45.0069%-65.956412%)
Punjab,90.34932% (85.7966%-94.694006%),80.28810% (73.2737%-86.946415%),79.17179% (71.7716%-86.113831%),70.85135% (61.3091%-79.818626%),6.85819% (6.2172%-7.459537%),63.97378% (55.0943%-72.371565%),63.62960% (55.0451%-71.697486%),56.61242% (48.9728%-63.792318%)
Rajasthan,90.01593% (85.5641%-94.580589%),77.92483% (70.8642%-84.780968%),76.95587% (69.6403%-84.032003%),69.97438% (60.9615%-78.710737%),6.16899% (5.5826%-6.736231%),63.79096% (55.3696%-71.979395%),59.05623% (51.4448%-66.435169%),53.45240% (46.5605%-60.134376%)
Tamil_Nadu,87.08542% (82.1824%-92.490740%),70.43734% (63.2394%-78.414373%),68.67456% (61.2243%-77.025363%),60.75703% (51.9178%-70.462688%),6.25373% (5.5753%-7.014178%),54.51260% (46.3647%-63.455978%),56.09337% (47.9178%-65.065596%),51.53993% (44.0380%-59.776169%)
Telangana,90.36992% (85.8217%-94.829244%),80.95028% (74.1261%-87.868382%),80.17113% (73.1355%-87.315738%),70.84700% (61.0876%-80.845112%),7.22295% (6.5891%-7.866638%),63.60019% (54.5068%-72.932154%),65.46903% (56.4334%-74.723180%),61.77372% (53.2567%-70.498050%)
Uttar_Pradesh,90.90459% (86.8964%-94.949087%),80.62098% (74.7537%-86.487427%),79.19284% (73.0425%-85.399570%),72.60185% (65.0554%-80.296113%),5.97392% (5.5100%-6.442127%),66.62426% (59.5415%-73.838584%),60.80702% (54.4779%-67.256706%),54.02715% (48.4021%-59.758747%)
West_Bengal,90.02730% (84.1955%-95.266214%),76.66651% (66.3848%-86.758425%),76.07152% (65.6346%-86.413633%),69.90657% (57.1331%-82.600529%),6.80977% (5.8755%-7.735579%),63.09459% (51.2193%-74.877513%),63.87371% (52.1765%-75.496405%),58.61756% (47.8896%-69.277727%)
