Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,5.3 (4.8-5.8),3.5 (3.2-3.8),8.8 (8.1-9.6)
Andhra_Pradesh,2.7 (0.6-4.8),1.6 (0.3-3.1),4.3 (0.9-7.8)
Bihar,7.7 (5.5-9.9),3.3 (2.2-4.4),11.0 (7.8-14.3)
Chhattisgarh,12.0 (9.0-15.8),8.5 (5.7-11.4),20.6 (14.6-27.1)
Delhi,1.7 (0.5-3.1),0.8 (0.2-1.5),2.5 (0.7-4.6)
Gujarat,1.0 (0.1-2.2),1.0 (0.1-2.4),2.0 (0.1-4.5)
Haryana,8.4 (5.5-11.2),1.5 (0.9-2.1),9.9 (6.4-13.2)
Jharkhand,7.4 (4.3-10.5),3.6 (1.9-5.4),11.1 (6.2-15.9)
Karnataka,6.9 (4.8-9.0),7.6 (5.1-10.2),14.5 (9.9-19.2)
Kerala,5.2 (2.1-7.8),7.1 (2.7-11.2),12.3 (4.8-19.0)
Madhya_Pradesh,6.5 (2.8-9.9),2.3 (0.9-3.8),8.8 (3.8-13.6)
Maharashtra,3.3 (1.7-4.8),3.1 (1.5-4.6),6.4 (3.2-9.5)
Odisha,7.5 (4.4-10.6),3.7 (1.9-5.6),11.2 (6.3-16.2)
Punjab,5.4 (3.7-7.1),4.7 (3.0-6.3),10.0 (6.7-13.4)
Rajasthan,5.9 (4.3-7.7),3.8 (2.6-4.9),9.7 (6.9-12.7)
Tamil_Nadu,9.5 (7.8-11.5),5.5 (4.4-6.7),15.1 (12.3-18.2)
Telangana,4.7 (3.2-6.3),5.0 (3.2-6.8),9.7 (6.4-13.0)
Uttar_Pradesh,4.3 (3.3-5.3),2.7 (2.1-3.4),7.0 (5.4-8.7)
West_Bengal,6.3 (2.8-9.5),3.5 (1.4-5.6),9.8 (4.2-15.1)
