Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,5.3 (4.8-5.8),3.5 (3.2-3.8),8.8 (8.1-9.6)
Andhra_Pradesh,2.7 (0.6-4.8),1.6 (0.3-3.0),4.3 (0.9-7.8)
Bihar,7.7 (5.5-9.9),3.3 (2.2-4.4),11.0 (7.7-14.2)
Chhattisgarh,12.0 (9.0-15.8),8.2 (5.6-10.9),20.2 (14.5-26.6)
Delhi,1.7 (0.5-3.1),0.8 (0.2-1.5),2.5 (0.7-4.6)
Gujarat,1.0 (0.1-2.2),1.0 (0.1-2.3),2.0 (0.1-4.5)
Haryana,8.4 (5.5-11.2),1.5 (0.9-2.1),9.9 (6.4-13.2)
Jharkhand,7.4 (4.3-10.5),3.6 (1.9-5.3),11.0 (6.2-15.9)
Karnataka,6.9 (4.8-9.0),7.4 (5.0-9.8),14.3 (9.7-18.8)
Kerala,5.2 (2.1-7.8),6.9 (2.6-10.7),12.1 (4.7-18.5)
Madhya_Pradesh,6.5 (2.8-9.9),2.3 (0.9-3.7),8.8 (3.8-13.5)
Maharashtra,3.3 (1.7-4.8),3.1 (1.5-4.6),6.4 (3.2-9.4)
Odisha,7.5 (4.4-10.6),3.7 (1.9-5.5),11.2 (6.2-16.1)
Punjab,5.4 (3.7-7.1),4.6 (3.0-6.2),10.0 (6.6-13.3)
Rajasthan,5.9 (4.3-7.7),3.7 (2.6-4.9),9.7 (6.9-12.6)
Tamil_Nadu,9.5 (7.8-11.5),5.4 (4.3-6.6),15.0 (12.2-18.1)
Telangana,4.7 (3.2-6.3),4.9 (3.2-6.6),9.6 (6.3-12.9)
Uttar_Pradesh,4.3 (3.3-5.3),2.7 (2.1-3.4),7.0 (5.4-8.7)
West_Bengal,6.3 (2.8-9.5),3.4 (1.4-5.5),9.7 (4.2-15.0)
