Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,89% (85%-94%),77% (72%-83%),75% (70%-82%),67% (61%-75%),6% (6%-7%),61% (55%-68%),59% (53%-66%),53% (48%-60%)
Andhra_Pradesh,89% (85%-94%),84% (78%-91%),82% (74%-90%),78% (67%-88%),9% (8%-10%),70% (59%-79%),76% (65%-86%),70% (60%-79%)
Bihar,89% (85%-94%),71% (64%-80%),69% (61%-78%),62% (52%-73%),6% (5%-7%),56% (47%-66%),55% (46%-65%),50% (42%-59%)
Chhattisgarh,89% (85%-94%),60% (51%-69%),58% (49%-68%),43% (32%-57%),6% (5%-7%),37% (26%-50%),42% (31%-55%),39% (29%-52%)
Delhi,89% (85%-94%),85% (79%-91%),85% (78%-91%),83% (74%-90%),6% (6%-7%),76% (68%-83%),62% (56%-68%),52% (47%-57%)
Gujarat,89% (85%-94%),87% (82%-93%),87% (81%-92%),84% (75%-91%),9% (8%-10%),75% (66%-82%),81% (72%-88%),72% (64%-78%)
Haryana,89% (85%-94%),86% (82%-91%),67% (58%-77%),64% (54%-75%),6% (5%-7%),58% (49%-68%),57% (48%-67%),51% (43%-60%)
Jharkhand,89% (85%-94%),70% (61%-81%),70% (60%-81%),62% (50%-76%),6% (6%-7%),56% (44%-69%),58% (46%-71%),54% (43%-66%)
Karnataka,89% (85%-94%),80% (74%-86%),72% (65%-80%),56% (44%-68%),6% (6%-7%),49% (38%-61%),50% (39%-61%),44% (34%-54%)
Kerala,89% (85%-94%),78% (71%-86%),76% (67%-85%),60% (44%-78%),7% (6%-8%),53% (38%-70%),56% (41%-73%),52% (39%-68%)
Madhya_Pradesh,89% (85%-94%),75% (66%-85%),73% (62%-84%),68% (55%-81%),7% (6%-8%),61% (49%-73%),62% (50%-75%),56% (45%-67%)
Maharashtra,89% (85%-94%),82% (76%-89%),81% (74%-88%),73% (63%-84%),8% (8%-9%),65% (55%-75%),67% (58%-77%),61% (52%-70%)
Odisha,89% (85%-94%),71% (63%-81%),70% (60%-80%),62% (49%-75%),6% (5%-7%),56% (44%-68%),58% (46%-70%),53% (42%-64%)
Punjab,89% (85%-94%),77% (70%-84%),75% (68%-83%),65% (54%-76%),7% (6%-8%),58% (48%-69%),59% (49%-70%),53% (44%-62%)
Rajasthan,89% (85%-94%),75% (68%-82%),73% (66%-82%),65% (56%-76%),6% (5%-7%),59% (51%-69%),55% (47%-64%),50% (43%-58%)
Tamil_Nadu,89% (85%-94%),67% (60%-74%),64% (57%-72%),54% (45%-63%),5% (5%-6%),48% (40%-57%),49% (41%-58%),45% (38%-53%)
Telangana,89% (85%-94%),78% (71%-85%),77% (70%-84%),65% (55%-76%),7% (7%-8%),58% (48%-68%),61% (52%-71%),58% (49%-67%)
Uttar_Pradesh,89% (85%-94%),79% (73%-85%),78% (72%-85%),72% (63%-80%),6% (5%-6%),66% (58%-74%),60% (53%-66%),53% (47%-59%)
West_Bengal,89% (85%-94%),73% (63%-84%),73% (62%-84%),65% (51%-80%),7% (6%-7%),59% (46%-73%),60% (47%-73%),55% (43%-67%)
