Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,91% (87%-95%),80% (75%-86%),79% (73%-85%),72% (65%-79%),6% (6%-7%),65% (60%-72%),62% (56%-68%),56% (51%-62%)
Andhra_Pradesh,91% (87%-95%),84% (77%-90%),80% (72%-89%),75% (62%-86%),7% (6%-7%),68% (56%-79%),68% (57%-78%),63% (53%-73%)
Bihar,91% (87%-95%),77% (70%-85%),76% (68%-83%),71% (61%-80%),6% (5%-6%),65% (56%-74%),58% (50%-66%),52% (45%-59%)
Chhattisgarh,91% (87%-95%),65% (57%-75%),64% (55%-74%),51% (39%-65%),7% (6%-8%),44% (33%-57%),50% (38%-63%),46% (35%-59%)
Delhi,91% (87%-95%),87% (82%-92%),87% (81%-92%),85% (78%-92%),6% (6%-6%),79% (72%-85%),64% (58%-69%),54% (49%-58%)
Gujarat,91% (87%-95%),89% (84%-94%),88% (83%-93%),86% (77%-93%),9% (8%-9%),77% (69%-83%),82% (74%-88%),73% (66%-79%)
Haryana,91% (87%-95%),88% (84%-93%),71% (62%-80%),68% (58%-78%),6% (5%-7%),62% (53%-71%),60% (51%-68%),54% (46%-62%)
Jharkhand,91% (87%-95%),76% (67%-85%),75% (66%-84%),69% (57%-81%),6% (5%-7%),63% (52%-74%),62% (51%-72%),57% (47%-67%)
Karnataka,91% (87%-95%),83% (78%-89%),77% (70%-84%),65% (53%-76%),6% (6%-7%),58% (48%-69%),57% (47%-67%),50% (41%-59%)
Kerala,91% (87%-95%),82% (75%-89%),81% (72%-89%),68% (53%-84%),6% (6%-7%),62% (48%-77%),61% (48%-76%),57% (44%-70%)
Madhya_Pradesh,91% (87%-95%),80% (71%-88%),78% (68%-87%),74% (61%-86%),6% (6%-7%),67% (56%-78%),66% (55%-76%),59% (49%-69%)
Maharashtra,91% (87%-95%),86% (80%-91%),85% (78%-90%),79% (70%-87%),7% (7%-8%),72% (63%-79%),70% (62%-77%),64% (56%-70%)
Odisha,91% (87%-95%),74% (65%-83%),72% (63%-82%),65% (53%-78%),6% (5%-6%),59% (48%-72%),59% (48%-71%),55% (45%-66%)
Punjab,91% (87%-95%),80% (74%-87%),79% (72%-86%),71% (61%-80%),7% (6%-7%),64% (55%-73%),63% (55%-72%),56% (49%-64%)
Rajasthan,91% (87%-95%),78% (72%-85%),77% (70%-84%),70% (61%-79%),6% (6%-7%),64% (55%-72%),59% (51%-66%),53% (46%-60%)
Tamil_Nadu,91% (87%-95%),71% (65%-79%),69% (63%-77%),60% (51%-70%),6% (6%-7%),54% (46%-63%),56% (47%-64%),51% (44%-59%)
Telangana,91% (87%-95%),81% (75%-87%),80% (74%-87%),71% (61%-81%),7% (7%-8%),63% (54%-73%),65% (56%-75%),62% (53%-71%)
Uttar_Pradesh,91% (87%-95%),80% (75%-86%),79% (73%-85%),73% (65%-81%),6% (6%-6%),67% (59%-74%),61% (54%-68%),54% (48%-60%)
West_Bengal,91% (87%-95%),77% (67%-87%),76% (67%-86%),70% (57%-83%),7% (6%-8%),63% (51%-76%),64% (52%-76%),58% (47%-70%)
