Location,Cas0,Cas1,Cas2,Cas3,Cas4,Cas5
India,90.64526% (87.00033%-94.742830%),80.19912% (75.13754%-85.946815%),78.56448% (73.32551%-84.519158%),71.69544% (65.35390%-78.965786%),61.97307% (56.49148%-68.257509%),56.18122% (51.21193%-61.878333%)
Andhra_Pradesh,90.63910% (87.00005%-94.745034%),83.57910% (76.95160%-90.167813%),80.46725% (72.02226%-88.819544%),74.71473% (62.28935%-86.356993%),67.88271% (56.59352%-78.460385%),63.36830% (52.82988%-73.242533%)
Bihar,90.64526% (87.00033%-94.742830%),77.26145% (70.30730%-84.541778%),75.67729% (68.07539%-83.476544%),70.56005% (61.13601%-80.075188%),58.06479% (50.30962%-65.894914%),52.39110% (45.39371%-59.456118%)
Chhattisgarh,90.64526% (87.00033%-94.742830%),65.33307% (56.56425%-74.777982%),63.82140% (54.71421%-73.714514%),51.11031% (38.92674%-64.725111%),49.59037% (37.76912%-62.800284%),46.43040% (35.36241%-58.798555%)
Delhi,90.62777% (86.99810%-94.760463%),87.05907% (81.54549%-92.491282%),86.73287% (80.95153%-92.340658%),85.04566% (77.69706%-91.612212%),64.00652% (58.47586%-68.948589%),53.72434% (49.08214%-57.872511%)
Gujarat,90.59539% (86.99894%-94.726175%),88.62117% (83.71199%-93.539799%),88.19506% (82.83706%-93.362447%),85.84275% (77.41827%-92.592170%),81.54095% (73.53864%-87.952142%),72.92195% (65.76549%-78.655465%)
Haryana,90.64526% (87.00033%-94.742830%),88.13865% (84.16324%-92.605176%),70.91358% (62.04903%-79.988211%),68.24796% (58.35109%-78.172813%),59.57984% (50.93996%-68.244137%),53.80384% (46.00156%-61.628171%)
Jharkhand,90.64526% (87.00033%-94.742830%),75.67749% (66.51428%-84.680459%),75.16137% (65.78617%-84.364087%),69.13259% (56.91554%-81.039783%),61.69015% (50.78833%-72.315483%),57.50048% (47.33905%-67.404201%)
Karnataka,90.64526% (87.00033%-94.742830%),83.22445% (78.02504%-88.676552%),77.28173% (70.32843%-84.191527%),64.69123% (53.32511%-75.825736%),56.93039% (46.92783%-66.729125%),50.14530% (41.33487%-58.776197%)
Kerala,90.63910% (87.00005%-94.745034%),82.27416% (74.82180%-89.427950%),80.53938% (72.27255%-88.726863%),68.44395% (53.24378%-84.490596%),61.34213% (47.71914%-75.723756%),57.11362% (44.42971%-70.503867%)
Madhya_Pradesh,90.64712% (87.00019%-94.743932%),79.84653% (71.18012%-88.380367%),77.64001% (67.50103%-87.479377%),73.70081% (61.34114%-85.620150%),65.57752% (54.58013%-76.183113%),59.05830% (49.15419%-68.609567%)
Maharashtra,90.64526% (87.00033%-94.742830%),85.53697% (79.92723%-90.790258%),84.59029% (78.49322%-90.167871%),79.41944% (70.21701%-87.367109%),70.35407% (62.20205%-77.394539%),63.65920% (56.28293%-70.029705%)
Odisha,90.64526% (87.00033%-94.742830%),73.84051% (65.19779%-83.499151%),72.17379% (62.92323%-82.436630%),64.87431% (52.76092%-78.014092%),59.45375% (48.35249%-71.495639%),54.89920% (44.64837%-66.018607%)
Punjab,90.64526% (87.00033%-94.742830%),80.34107% (74.11896%-86.672414%),79.19300% (72.47001%-85.939784%),70.70969% (61.04419%-80.131186%),63.54362% (54.85767%-72.010293%),56.54089% (48.81216%-64.074505%)
Rajasthan,90.64526% (87.00033%-94.742830%),78.06473% (71.51921%-84.712692%),77.05985% (70.16294%-84.005987%),69.82815% (60.78919%-78.760125%),58.94681% (51.31640%-66.486917%),53.36124% (46.45385%-60.186869%)
Tamil_Nadu,90.64526% (87.00033%-94.742830%),71.30884% (64.93613%-78.539756%),69.31218% (62.57490%-76.912137%),60.13423% (51.40772%-69.715979%),55.55636% (47.49419%-64.408685%),51.02142% (43.61734%-59.151141%)
Telangana,90.64526% (87.00033%-94.742830%),81.04683% (74.98929%-87.414420%),80.24059% (73.87920%-86.902574%),70.72544% (60.89440%-81.228407%),65.39218% (56.30248%-75.103142%),61.68346% (53.10928%-70.843663%)
Uttar_Pradesh,90.64526% (87.00033%-94.742830%),80.49552% (74.84137%-86.362243%),79.12005% (73.15001%-85.375375%),72.63599% (64.97434%-80.627360%),60.85666% (54.43749%-67.552074%),54.07529% (48.37143%-60.024628%)
West_Bengal,90.64526% (87.00033%-94.742830%),76.79693% (67.42832%-86.647611%),76.20089% (66.50582%-86.364592%),69.64140% (56.50920%-83.444763%),63.67366% (51.66678%-76.294176%),58.42322% (47.40641%-70.003066%)
