Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,4.5 (4.1-4.9),2.9 (2.7-3.1),7.4 (6.8-8.0)
Andhra_Pradesh,3.9 (1.3-6.3),2.5 (0.8-4.2),6.4 (2.1-10.5)
Bihar,5.7 (3.9-7.4),2.3 (1.5-3.1),8.0 (5.4-10.5)
Chhattisgarh,10.2 (7.3-13.2),6.7 (4.3-9.0),16.8 (11.7-22.1)
Delhi,1.5 (0.3-2.6),0.7 (0.1-1.3),2.1 (0.4-3.9)
Gujarat,0.9 (0.1-2.0),0.9 (0.1-2.2),1.8 (0.2-4.2)
Haryana,7.5 (5.0-10.0),1.3 (0.8-1.8),8.8 (5.8-11.8)
Jharkhand,5.8 (2.9-8.4),2.7 (1.2-4.2),8.5 (4.1-12.5)
Karnataka,5.2 (3.4-7.0),5.5 (3.4-7.6),10.6 (6.8-14.6)
Kerala,3.8 (1.3-6.2),5.1 (1.6-8.6),9.0 (2.9-14.8)
Madhya_Pradesh,5.0 (1.9-8.1),1.7 (0.6-3.0),6.7 (2.5-11.0)
Maharashtra,2.3 (1.0-3.5),2.1 (0.9-3.3),4.4 (1.9-6.9)
Odisha,7.1 (4.0-9.9),3.4 (1.8-5.1),10.5 (5.8-14.9)
Punjab,4.3 (2.7-5.8),3.6 (2.2-5.0),7.9 (5.0-10.9)
Rajasthan,5.1 (3.7-6.6),3.1 (2.2-4.2),8.2 (5.9-10.7)
Tamil_Nadu,8.0 (6.6-9.8),4.4 (3.5-5.4),12.4 (10.1-15.2)
Telangana,3.9 (2.4-5.3),4.0 (2.4-5.6),7.9 (4.9-10.9)
Uttar_Pradesh,4.3 (3.4-5.2),2.7 (2.1-3.4),7.0 (5.4-8.6)
West_Bengal,5.4 (2.3-8.3),2.9 (1.1-4.8),8.3 (3.4-13.1)
