Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,5.3 (4.8-5.8),3.5 (3.2-3.8),8.8 (8.1-9.6)
Andhra_Pradesh,3.5 (2.1-5.0),2.2 (1.2-3.2),5.7 (3.3-8.2)
Bihar,7.3 (5.7-9.0),3.1 (2.3-3.9),10.3 (8.1-12.8)
Chhattisgarh,10.7 (8.1-13.7),7.2 (5.0-9.4),17.8 (13.1-22.9)
Delhi,3.1 (2.2-3.9),1.5 (1.1-2.0),4.6 (3.3-5.9)
Gujarat,2.0 (1.2-2.8),2.2 (1.3-3.1),4.2 (2.5-5.9)
Haryana,8.1 (6.1-10.1),1.4 (1.0-1.8),9.5 (7.1-11.9)
Jharkhand,7.0 (4.8-9.4),3.4 (2.2-4.7),10.4 (6.9-14.0)
Karnataka,6.2 (4.6-7.9),6.8 (4.9-8.8),13.0 (9.5-16.6)
Kerala,4.8 (2.7-6.9),6.5 (3.4-9.6),11.3 (6.1-16.5)
Madhya_Pradesh,6.5 (4.0-9.0),2.3 (1.3-3.3),8.8 (5.3-12.3)
Maharashtra,3.7 (2.6-4.7),3.5 (2.4-4.6),7.2 (5.1-9.3)
Odisha,7.1 (4.9-9.4),3.4 (2.2-4.8),10.5 (7.1-14.2)
Punjab,5.2 (4.0-6.5),4.5 (3.3-5.7),9.7 (7.3-12.2)
Rajasthan,5.8 (4.7-7.1),3.6 (2.8-4.5),9.4 (7.5-11.6)
Tamil_Nadu,8.6 (7.2-10.1),4.8 (4.0-5.7),13.4 (11.3-15.8)
Telangana,4.6 (3.5-5.7),4.8 (3.6-6.1),9.4 (7.1-11.9)
Uttar_Pradesh,4.6 (3.9-5.3),2.9 (2.5-3.4),7.6 (6.4-8.7)
West_Bengal,6.2 (3.7-8.5),3.3 (1.9-4.9),9.5 (5.6-13.4)
