Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,89.1673% (85.13948%-93.8286057%),76.9912% (71.70613%-83.3490003%),75.1450% (69.61576%-81.8213695%),67.1487% (60.50091%-75.1327915%),6.2652% (5.80418%-6.8218176%),60.8824% (54.69394%-68.3128613%),58.8049% (52.97632%-65.8050295%),53.3111% (48.02758%-59.6566745%)
Andhra_Pradesh,92.6741% (87.82750%-96.4153790%),86.0358% (78.61525%-92.0995281%),83.1728% (74.57795%-90.2212495%),77.8177% (66.92268%-86.9963123%),8.8092% (7.89884%-9.5556768%),68.9948% (59.00445%-77.4665069%),75.8354% (65.21021%-84.7889823%),69.6370% (59.88128%-77.8574968%)
Bihar,87.6226% (82.60866%-93.1001995%),71.0418% (62.77624%-79.6874188%),68.9997% (60.38203%-78.1277026%),62.5865% (52.62820%-73.3819294%),6.1645% (5.39462%-6.9800453%),56.4343% (47.24189%-66.3682126%),55.4535% (46.63039%-65.0183747%),50.0331% (42.07172%-58.6636648%)
Chhattisgarh,81.5276% (74.92033%-89.0155554%),57.5400% (47.88104%-68.8101217%),56.0985% (46.24540%-67.6281002%),44.0665% (32.30879%-58.1708707%),5.7901% (4.77309%-6.9800424%),38.2543% (27.49767%-51.1911247%),42.6470% (31.25573%-56.3149180%),39.9396% (29.28085%-52.7408078%)
Delhi,93.9353% (90.35609%-96.8648822%),86.1472% (80.02328%-91.2689523%),85.4105% (78.99754%-90.7027461%),81.5953% (73.84902%-88.0950570%),6.2138% (5.74725%-6.5988324%),75.3831% (68.08649%-81.5027151%),61.2465% (55.42302%-66.1324833%),51.3981% (46.50618%-55.5024925%)
Gujarat,94.5144% (90.73028%-97.3980696%),89.9702% (84.35762%-94.4692985%),89.0206% (82.88719%-93.8671580%),83.3210% (74.58983%-90.4349284%),9.3382% (8.69485%-9.8466458%),73.9925% (65.86640%-80.5945554%),79.8812% (71.50954%-86.7021983%),71.4382% (63.95163%-77.5379893%)
Haryana,88.3272% (83.31508%-93.4606159%),85.7707% (80.29136%-91.2182058%),67.5060% (58.36156%-77.3302262%),64.6958% (54.75534%-75.3183197%),6.1175% (5.28879%-7.0077473%),58.5728% (49.44583%-68.3084417%),57.1511% (48.36569%-66.5396263%),51.6074% (43.67270%-60.0868349%)
Jharkhand,87.6332% (81.65027%-93.4081692%),70.0899% (59.76333%-81.1036093%),69.4766% (59.00402%-80.6881072%),62.4814% (50.07891%-75.9546631%),6.4128% (5.44615%-7.4476244%),56.0859% (44.61736%-68.5572061%),58.0950% (46.55301%-70.6329707%),54.1456% (43.38605%-65.8337307%)
Karnataka,85.5104% (79.48106%-91.7559871%),77.1957% (69.66885%-85.0118825%),70.3707% (61.63142%-79.5426855%),56.2681% (44.18994%-68.7102380%),6.2979% (5.51580%-7.1188022%),49.9297% (38.69320%-61.6171888%),50.2675% (39.44635%-61.4167046%),44.3084% (34.78296%-54.1223787%)
Kerala,87.0453% (79.87439%-93.6262815%),76.9841% (66.74796%-87.2980761%),74.8938% (64.03310%-86.0650132%),60.4575% (45.01480%-77.8330304%),7.1187% (6.08639%-8.1805412%),53.3468% (38.84301%-69.6496329%),56.4433% (41.99326%-72.7077113%),52.5780% (39.13023%-67.7119099%)
Madhya_Pradesh,89.3741% (83.53852%-94.5863664%),75.5727% (65.57721%-85.3909300%),72.7659% (61.84829%-83.5709438%),67.7933% (55.21443%-80.3154145%),6.9991% (5.94902%-8.0384574%),60.7966% (49.27032%-72.3131331%),62.3332% (50.76170%-73.8525248%),56.1275% (45.70268%-66.5052079%)
Maharashtra,91.0138% (86.29140%-95.3993309%),82.7313% (75.84193%-89.3670016%),81.1779% (73.85493%-88.2676894%),72.7965% (62.97875%-82.5266932%),8.4789% (7.71407%-9.2194680%),64.3413% (55.21127%-73.3655073%),67.0222% (57.97721%-75.9872198%),60.6554% (52.47401%-68.7639729%)
Odisha,87.5632% (81.73010%-93.1083878%),71.1379% (61.10806%-80.9407089%),69.4549% (58.97980%-79.6966713%),62.4445% (49.76700%-74.6690494%),6.0373% (5.12679%-6.9276005%),56.4194% (44.62327%-67.7501363%),58.2185% (46.36510%-69.6439521%),53.7663% (42.82228%-64.3141750%)
Punjab,88.3902% (83.35841%-93.5903834%),76.3223% (68.68451%-84.3839742%),74.9482% (66.96921%-83.3513684%),64.9951% (54.59590%-76.0290017%),7.0361% (6.28703%-7.8249790%),57.9451% (48.25172%-68.1821352%),59.2891% (49.79183%-69.3730939%),52.7483% (44.29684%-61.7233354%)
Rajasthan,88.5141% (83.70679%-93.6093338%),74.4453% (67.26768%-82.4710914%),73.3334% (65.94094%-81.6216856%),65.4239% (56.21943%-75.4969439%),5.9506% (5.35072%-6.6231199%),59.4724% (50.86714%-68.8550478%),55.4062% (47.60637%-63.9407735%),50.1479% (43.08515%-57.8748950%)
