Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,88.19392% (83.92700%-93.2407%),75.02914% (69.29289%-81.7992%),73.00289% (67.07918%-80.0729%),64.34553% (57.30010%-72.7984%),5.95928% (5.47572%-6.5364%),58.40367% (51.81411%-66.2368%),56.03189% (49.88972%-63.4010%),50.79738% (45.22949%-57.4775%)
Andhra_Pradesh,87.96536% (81.76131%-93.7268%),77.11921% (68.19950%-86.2480%),72.46363% (61.89937%-83.0317%),63.58740% (49.94380%-77.2545%),6.32500% (5.40290%-7.2474%),57.27252% (44.52641%-70.0045%),58.82303% (46.17623%-71.4910%),54.92782% (43.12899%-66.7469%)
Bihar,86.54960% (81.31430%-92.3359%),68.55803% (60.10292%-77.5810%),66.38656% (57.48225%-76.0622%),59.41782% (49.22592%-70.4580%),5.44970% (4.71874%-6.2440%),53.97255% (44.52384%-64.2240%),51.12626% (42.35440%-60.6283%),46.12841% (38.21338%-54.7025%)
Chhattisgarh,80.63985% (74.17480%-88.1419%),55.31641% (46.55149%-66.5572%),53.84950% (44.88092%-65.2880%),41.36273% (30.55177%-55.4122%),5.76202% (4.80236%-6.9860%),35.59003% (25.72827%-48.4250%),40.29263% (29.75105%-53.9917%),37.73297% (27.86362%-50.5638%)
Delhi,93.25171% (89.67408%-96.4508%),84.65320% (78.42585%-90.2450%),83.83707% (77.35083%-89.6536%),79.64734% (71.66185%-86.8031%),5.99067% (5.52719%-6.4063%),73.66166% (66.12418%-80.3968%),59.83711% (53.82699%-65.2206%),50.21444% (45.16484%-54.7364%)
Gujarat,93.69361% (89.66260%-97.0621%),88.46592% (82.25273%-93.9661%),87.36743% (80.71206%-93.3155%),80.88726% (71.08323%-89.5397%),9.17852% (8.47933%-9.8034%),71.70942% (62.59538%-79.7096%),77.57305% (68.16948%-85.8717%),69.37404% (60.96478%-76.7953%)
Haryana,87.62384% (82.38785%-93.2193%),84.88355% (79.19550%-90.9880%),65.66851% (56.17593%-75.7627%),62.68253% (52.63592%-73.4873%),6.00848% (5.13993%-6.9321%),56.66978% (47.48386%-66.5444%),55.48111% (46.58542%-65.0482%),50.09907% (42.06506%-58.7394%)
Jharkhand,86.52639% (80.42761%-92.7381%),67.45487% (56.56484%-79.1964%),66.80740% (55.77881%-78.7763%),59.23040% (46.17553%-73.5079%),6.35111% (5.30266%-7.4889%),52.85538% (40.91060%-65.9974%),55.46502% (43.23431%-68.8437%),51.69330% (40.29227%-64.1650%)
Karnataka,85.05251% (79.05367%-91.4524%),76.43440% (69.16341%-84.2677%),69.41471% (60.95280%-78.8086%),54.63306% (43.48295%-67.8909%),6.11177% (5.36672%-6.9389%),48.56482% (38.01661%-61.0016%),48.66241% (38.69855%-60.5206%),42.89522% (34.12443%-53.3293%)
Kerala,87.17786% (80.58835%-93.8743%),77.21217% (67.64848%-87.7886%),75.20311% (65.08301%-86.5255%),60.98222% (45.68626%-78.3376%),6.80746% (5.89138%-7.8324%),54.15228% (39.74814%-70.5166%),56.36770% (42.19063%-72.4659%),52.50666% (39.31265%-67.4841%)
