Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,5.8 (5.3-6.5),3.9 (3.6-4.2),9.7 (8.9-10.7)
Andhra_Pradesh,6.2 (3.9-8.4),4.1 (2.4-5.8),10.3 (6.3-14.3)
Bihar,8.0 (6.2-9.9),3.5 (2.6-4.4),11.5 (8.8-14.2)
Chhattisgarh,11.3 (8.6-14.4),7.5 (5.4-9.6),18.8 (14.1-24.0)
Delhi,3.4 (2.5-4.4),1.7 (1.2-2.2),5.1 (3.6-6.6)
Gujarat,2.3 (1.4-3.2),2.5 (1.5-3.6),4.8 (2.9-6.8)
Haryana,8.6 (6.7-10.8),1.5 (1.1-2.0),10.1 (7.8-12.8)
Jharkhand,7.7 (5.4-10.3),3.7 (2.5-5.2),11.5 (7.9-15.5)
Karnataka,6.5 (4.8-8.2),6.9 (5.0-8.8),13.4 (9.8-16.9)
Kerala,4.7 (2.6-6.7),6.2 (3.3-9.1),10.9 (5.8-15.8)
Madhya_Pradesh,6.5 (4.0-9.0),2.3 (1.3-3.3),8.8 (5.3-12.3)
Maharashtra,4.0 (2.9-5.2),3.8 (2.6-5.0),7.7 (5.5-10.2)
Odisha,7.6 (5.0-10.0),3.7 (2.3-5.1),11.2 (7.3-15.1)
Punjab,5.2 (4.0-6.6),4.4 (3.3-5.7),9.7 (7.3-12.3)
Rajasthan,6.1 (4.8-7.3),3.8 (2.9-4.6),9.8 (7.7-11.9)
Tamil_Nadu,9.6 (8.2-11.4),5.5 (4.6-6.5),15.1 (12.9-17.9)
Telangana,4.7 (3.5-5.9),4.9 (3.6-6.2),9.6 (7.1-12.1)
Uttar_Pradesh,5.6 (4.8-6.5),3.7 (3.1-4.3),9.3 (7.9-10.8)
West_Bengal,6.7 (4.0-9.1),3.6 (2.1-5.3),10.3 (6.1-14.4)
