Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,5.8 (5.3-6.5),3.9 (3.6-4.2),9.7 (8.9-10.7)
Andhra_Pradesh,6.3 (2.9-9.2),4.1 (1.8-6.5),10.4 (4.7-15.7)
Bihar,8.4 (6.0-11.0),3.7 (2.5-4.9),12.1 (8.4-16.0)
Chhattisgarh,12.6 (9.4-16.5),8.7 (6.1-11.5),21.4 (15.5-27.9)
Delhi,2.0 (0.5-3.5),1.0 (0.2-1.7),3.0 (0.7-5.2)
Gujarat,1.2 (0.2-2.7),1.3 (0.2-2.9),2.6 (0.3-5.6)
Haryana,8.8 (6.0-11.7),1.6 (1.0-2.2),10.4 (7.0-13.9)
Jharkhand,8.1 (5.0-11.4),4.0 (2.2-6.0),12.1 (7.2-17.5)
Karnataka,7.0 (4.8-9.2),7.6 (4.9-10.0),14.6 (9.8-19.2)
Kerala,4.9 (1.9-7.5),6.5 (2.3-10.3),11.4 (4.2-17.8)
Madhya_Pradesh,6.2 (2.5-9.6),2.2 (0.8-3.6),8.4 (3.3-13.3)
Maharashtra,3.6 (1.8-5.2),3.3 (1.6-5.0),6.9 (3.5-10.3)
Odisha,7.9 (4.3-11.1),3.9 (1.9-5.8),11.8 (6.2-17.0)
Punjab,5.2 (3.5-7.0),4.4 (2.8-6.2),9.7 (6.3-13.2)
Rajasthan,6.1 (4.4-7.7),3.8 (2.7-5.0),9.9 (7.0-12.7)
Tamil_Nadu,10.6 (8.8-13.0),6.3 (5.1-7.6),16.9 (14.0-20.6)
Telangana,4.7 (3.1-6.4),4.9 (3.0-6.7),9.6 (6.1-13.0)
Uttar_Pradesh,5.5 (4.5-6.7),3.6 (2.9-4.4),9.1 (7.3-11.1)
West_Bengal,6.8 (3.1-10.1),3.7 (1.5-6.0),10.5 (4.6-16.0)
