Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,5.8 (5.3-6.5),3.9 (3.6-4.3),9.8 (9.0-10.7)
Andhra_Pradesh,6.3 (2.9-9.2),4.2 (1.8-6.7),10.5 (4.7-15.9)
Bihar,8.4 (6.0-11.0),3.7 (2.5-5.0),12.2 (8.5-16.0)
Chhattisgarh,12.6 (9.4-16.5),9.1 (6.3-12.2),21.8 (15.7-28.6)
Delhi,2.0 (0.5-3.5),1.0 (0.2-1.7),3.0 (0.7-5.2)
Gujarat,1.2 (0.2-2.7),1.3 (0.2-3.0),2.6 (0.3-5.6)
Haryana,8.8 (6.0-11.7),1.6 (1.0-2.2),10.4 (7.0-13.9)
Jharkhand,8.1 (5.0-11.4),4.1 (2.2-6.1),12.2 (7.2-17.6)
Karnataka,7.0 (4.8-9.2),7.8 (5.1-10.4),14.9 (9.8-19.6)
Kerala,4.9 (1.9-7.5),6.7 (2.3-10.7),11.6 (4.2-18.2)
Madhya_Pradesh,6.2 (2.5-9.6),2.2 (0.8-3.6),8.4 (3.3-13.3)
Maharashtra,3.6 (1.8-5.2),3.4 (1.6-5.1),7.0 (3.5-10.4)
Odisha,7.9 (4.3-11.1),4.0 (1.9-5.9),11.9 (6.2-17.1)
Punjab,5.2 (3.5-7.0),4.5 (2.9-6.3),9.7 (6.4-13.3)
Rajasthan,6.1 (4.4-7.7),3.9 (2.7-5.1),9.9 (7.1-12.8)
Tamil_Nadu,10.6 (8.8-13.0),6.4 (5.2-7.8),17.1 (14.1-20.7)
Telangana,4.7 (3.1-6.4),5.0 (3.1-6.9),9.7 (6.1-13.2)
Uttar_Pradesh,5.5 (4.5-6.7),3.6 (2.9-4.5),9.1 (7.4-11.1)
West_Bengal,6.8 (3.1-10.1),3.8 (1.5-6.1),10.6 (4.6-16.1)
