Location,DelayPatient_mo,DelaySystem_mo,DelayTotal_mo
India,2.2 (2.0-2.3),1.2 (1.1-1.3),3.4 (3.2-3.7)
Andhra Pradesh,3.3 (2.4-4.6),2.0 (1.4-2.8),5.3 (3.9-7.4)
Arunachal Pradesh,2.1 (1.4-3.0),1.0 (0.6-1.4),3.1 (2.0-4.4)
Assam,2.2 (1.6-3.5),1.0 (0.7-1.7),3.2 (2.3-5.2)
Bihar,1.5 (1.2-2.1),0.4 (0.3-0.6),1.9 (1.6-2.7)
Chandigarh,0.4 (0.3-0.6),0.3 (0.2-0.4),0.7 (0.5-1.1)
Chhattisgarh,1.4 (1.0-2.3),0.6 (0.4-1.0),2.0 (1.4-3.3)
Delhi,2.0 (1.3-2.8),0.9 (0.6-1.3),2.8 (1.9-4.1)
Gujarat,0.5 (0.3-0.7),0.5 (0.3-0.7),1.0 (0.6-1.3)
Haryana,4.6 (2.7-6.6),0.6 (0.3-0.9),5.2 (3.1-7.5)
Himachal Pradesh,1.6 (1.0-2.9),1.0 (0.6-1.9),2.6 (1.6-4.7)
Jammu & Kashmir,2.0 (1.1-3.2),1.3 (0.7-2.1),3.3 (1.8-5.4)
Jharkhand,1.4 (1.0-1.9),0.4 (0.3-0.6),1.8 (1.3-2.5)
Karnataka,3.9 (2.7-5.2),3.9 (2.6-5.2),7.8 (5.3-10.3)
Kerala,0.9 (0.4-1.7),1.1 (0.5-2.0),2.0 (0.9-3.7)
Madhya Pradesh,2.1 (1.5-2.9),0.6 (0.4-0.8),2.7 (1.9-3.7)
Maharashtra,1.5 (1.1-1.9),1.3 (0.9-1.7),2.8 (2.0-3.6)
Manipur,2.4 (1.6-3.7),1.1 (0.7-1.8),3.5 (2.3-5.4)
Meghalaya,2.0 (1.3-3.3),0.9 (0.6-1.6),3.0 (1.9-4.9)
Nagaland,1.9 (1.2-2.7),0.9 (0.5-1.3),2.7 (1.7-4.0)
Odisha,2.9 (1.8-4.2),1.2 (0.7-1.8),4.2 (2.5-6.0)
Punjab,0.6 (0.4-0.9),0.4 (0.2-0.6),1.0 (0.6-1.5)
Rajasthan,3.0 (2.2-4.0),1.6 (1.2-2.2),4.6 (3.4-6.2)
Tamil Nadu,6.0 (4.6-8.1),3.0 (2.1-4.4),9.0 (6.7-12.4)
Telangana,3.3 (2.2-4.6),3.2 (2.1-4.5),6.6 (4.3-9.1)
Uttar Pradesh,2.6 (2.2-3.2),1.4 (1.2-1.8),4.0 (3.4-5.0)
Uttarakhand,1.6 (0.9-2.4),1.0 (0.6-1.5),2.6 (1.5-3.9)
West Bengal,1.5 (0.9-2.3),0.6 (0.4-1.0),2.1 (1.3-3.3)
