Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,89.32364% (85.58702%-94.10837%),84.68119% (80.31507%-90.50412%),83.99372% (79.51476%-89.96292%),81.06143% (76.17437%-87.78187%),13.18114% (12.47825%-14.11788%),67.89716% (63.69784%-73.66399%),70.29848% (66.05809%-76.13094%),63.80915% (59.96035%-69.10290%)
Andhra Pradesh,85.92563% (79.29342%-93.54670%),80.45797% (72.09446%-89.39433%),78.05864% (68.81885%-87.61948%),73.69881% (62.75560%-84.43013%),15.20552% (13.40564%-17.06793%),58.50732% (49.34996%-67.37455%),70.14851% (59.72096%-80.37141%),65.35703% (55.64950%-74.87592%)
Arunachal Pradesh,90.44046% (84.85769%-95.83234%),86.36448% (79.08512%-92.93195%),85.23791% (77.36828%-92.16850%),82.98321% (74.08388%-90.70799%),18.74786% (17.01695%-20.27222%),64.26033% (57.06693%-70.43576%),80.77411% (72.10725%-88.29609%),72.31533% (64.55878%-79.04786%)
Assam,91.29371% (86.54244%-95.98941%),87.10083% (80.23087%-93.33224%),85.97541% (78.35263%-92.54196%),83.63589% (74.75948%-91.03012%),13.33451% (12.15224%-14.35296%),70.29396% (62.60724%-76.67716%),72.81888% (65.08139%-79.26358%),68.46620% (61.19528%-74.52261%)
Bihar,94.25484% (91.08234%-97.03803%),90.95226% (86.62818%-94.58905%),90.59503% (86.09030%-94.29331%),89.62828% (84.71235%-93.62821%),13.33783% (12.67463%-13.88231%),76.27819% (72.03772%-79.74815%),75.25819% (71.13004%-78.61726%),67.74204% (64.02611%-70.76571%)
Chandigarh,93.16059% (89.24385%-97.10725%),92.08846% (87.56197%-96.44334%),91.97115% (87.38387%-96.36905%),91.16544% (86.20020%-95.89085%),17.36342% (16.49738%-18.19371%),73.80742% (69.69273%-77.69714%),83.80393% (79.23339%-88.15199%),77.48956% (73.26316%-81.51017%)
Chhattisgarh,80.43473% (68.09428%-89.61089%),77.62513% (64.38196%-87.70546%),77.45864% (64.16197%-87.59399%),76.18912% (62.48455%-86.61728%),11.68290% (9.67740%-13.21159%),64.50622% (52.80715%-73.39130%),66.31467% (54.38313%-75.39314%),62.85634% (51.54601%-71.46055%)
Delhi,88.21313% (81.35612%-94.73550%),83.51705% (75.22067%-91.87884%),83.11672% (74.59856%-91.58434%),81.17256% (71.64350%-90.18546%),13.88928% (12.46585%-15.30427%),67.26490% (59.17765%-74.88119%),65.80278% (58.06963%-73.11560%),56.04795% (49.45433%-62.28202%)
Gujarat,91.15318% (85.22102%-96.25386%),90.11377% (83.45725%-95.53927%),89.89375% (83.08389%-95.38801%),88.69514% (81.03689%-94.55867%),18.68937% (17.27357%-19.83166%),70.01115% (63.76332%-74.72701%),84.74014% (77.42218%-90.34274%),75.78599% (69.24143%-80.79652%)
Haryana,81.59966% (69.67570%-92.07302%),73.37081% (58.22897%-87.08856%),71.53970% (55.73734%-86.07979%),70.39756% (54.13452%-85.43131%),13.10563% (10.21073%-15.76928%),57.29368% (43.91555%-69.66202%),62.70077% (48.21348%-76.09301%),56.56491% (43.49349%-68.64798%)
Himachal Pradesh,89.73038% (83.42930%-95.24009%),86.34649% (78.77202%-93.13175%),85.82459% (78.04013%-92.78036%),83.51477% (74.57029%-91.28019%),14.14236% (12.85963%-15.28855%),69.33476% (61.70559%-75.99164%),76.25055% (68.07109%-83.35397%),71.59088% (63.91164%-78.25980%)
Jammu & Kashmir,88.86559% (80.89018%-94.84165%),85.42033% (75.46373%-92.31150%),84.74900% (74.55614%-91.92476%),82.07401% (70.68141%-90.27370%),14.87637% (13.08717%-16.13597%),67.18996% (57.59424%-74.13774%),75.06502% (64.63301%-82.57527%),71.01649% (61.15130%-78.11780%)
Jharkhand,92.25563% (86.55573%-96.80553%),89.11361% (80.87305%-94.60768%),89.01497% (80.66602%-94.53216%),88.10934% (78.76510%-93.83875%),13.40027% (12.14342%-14.23082%),74.70908% (66.62168%-79.60793%),76.21254% (68.12553%-81.16945%),70.78589% (63.27427%-75.38995%)
Karnataka,85.86554% (79.07216%-93.00046%),80.78497% (72.64436%-89.28018%),76.80181% (67.15834%-86.16423%),67.37189% (55.96741%-80.80170%),13.30061% (11.63055%-14.92200%),54.26094% (44.24035%-65.88015%),60.27927% (50.04292%-72.33218%),53.33320% (44.29040%-63.98103%)
Kerala,89.07305% (77.52376%-95.55173%),87.41388% (74.48649%-94.57805%),87.09954% (73.87181%-94.38236%),84.47141% (69.51421%-93.02401%),13.36591% (11.33604%-14.48349%),71.10561% (58.17227%-78.56772%),74.17765% (61.02841%-81.69819%),69.70731% (57.35364%-76.77228%)
Madhya Pradesh,81.29389% (72.90050%-90.47962%),77.61854% (68.36092%-87.34724%),76.82179% (67.44989%-86.76734%),75.54679% (65.89354%-85.85453%),15.19508% (13.34135%-17.16227%),60.34753% (52.53886%-68.69226%),70.15558% (61.18958%-79.72959%),63.64944% (55.51351%-72.33682%)
Maharashtra,92.55256% (87.99360%-96.49062%),89.31751% (83.41285%-94.38390%),88.74479% (82.54281%-93.97416%),85.65710% (77.94055%-91.81242%),14.78563% (13.75233%-15.65689%),70.88028% (64.18761%-76.16623%),75.39310% (68.59352%-80.81585%),68.51107% (62.33449%-73.43731%)
Manipur,90.63648% (84.69586%-95.46239%),86.58088% (78.65572%-92.84448%),85.49430% (76.92564%-92.12403%),83.29858% (73.49089%-90.74576%),12.91231% (11.61817%-13.91360%),70.37040% (61.81364%-76.83216%),71.69231% (63.24441%-78.10610%),66.64997% (58.79614%-72.61270%)
Meghalaya,91.69673% (85.72451%-95.72454%),88.22286% (79.90857%-92.96219%),87.21633% (78.20087%-92.14063%),85.31531% (75.14772%-90.56895%),13.81312% (12.38527%-14.59302%),71.50219% (62.76244%-75.97593%),72.66428% (64.00095%-77.13999%),65.66429% (57.83348%-69.70951%)
Nagaland,91.95579% (86.44610%-95.93730%),88.60771% (80.87140%-93.69979%),87.55594% (79.25152%-92.99907%),85.67153% (76.15261%-91.66603%),14.36927% (13.00639%-15.26257%),71.31447% (63.14622%-76.40393%),78.26622% (69.55872%-83.74806%),69.57789% (61.83007%-74.45455%)
Odisha,72.78718% (61.47637%-85.80527%),67.41364% (54.76253%-80.95742%),66.85178% (54.01320%-80.46756%),64.48401% (50.73914%-78.38983%),12.93918% (10.45427%-15.57451%),51.57287% (40.28488%-62.81532%),61.37657% (48.28160%-74.61739%),56.60132% (44.52272%-68.81121%)
Punjab,92.90002% (85.14139%-96.53594%),91.86766% (83.02749%-95.71548%),91.76001% (82.79096%-95.62493%),90.93340% (81.26836%-95.04200%),13.81708% (12.46654%-14.39906%),77.11823% (68.80182%-80.64295%),77.71581% (69.45255%-81.22824%),68.78254% (61.46878%-71.89135%)
Rajasthan,91.50789% (87.25292%-95.55825%),84.42668% (77.56394%-90.22857%),83.88865% (76.76767%-89.83106%),80.39932% (71.57381%-87.35156%),13.22266% (12.10024%-14.15931%),67.20766% (59.47357%-73.21004%),68.55316% (61.02470%-74.48283%),61.70345% (54.92441%-67.04215%)
