Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
India,88.8045% (85.04140%-94.351617%),84.4936% (79.65335%-90.570348%),83.8115% (78.84552%-90.009610%),81.0166% (75.58996%-87.797895%),12.9089% (12.14402%-13.863552%),68.1308% (63.44593%-73.919757%),69.6088% (64.94367%-75.437091%),63.2117% (58.97552%-68.504265%)
Andhra Pradesh,86.8589% (78.45534%-93.025913%),81.2702% (70.14288%-89.295448%),78.8976% (66.70121%-87.649261%),74.6584% (60.45051%-84.659497%),14.4263% (12.19623%-16.026553%),60.2233% (48.25428%-68.632943%),69.8136% (56.51383%-79.175084%),65.3665% (52.92191%-74.126676%)
Arunachal Pradesh,91.0139% (83.34603%-95.250031%),87.3293% (76.99884%-92.527700%),86.1602% (75.11110%-91.801901%),83.9502% (71.49976%-90.413414%),19.6238% (17.10722%-20.908700%),64.3057% (54.39254%-69.504714%),81.9951% (69.83159%-88.309518%),73.2440% (62.38054%-78.883487%)
Assam,90.6704% (85.42198%-95.588813%),86.6360% (79.44674%-92.590250%),85.4793% (77.49081%-91.683090%),83.0764% (73.51791%-89.934161%),12.9625% (11.75108%-13.903266%),70.1496% (61.76683%-76.038560%),71.2210% (63.01699%-77.102705%),67.4290% (59.66624%-72.996366%)
Bihar,94.6367% (91.25517%-97.622271%),91.4607% (86.99092%-95.308833%),91.0598% (86.47422%-95.040754%),90.0751% (85.15054%-94.353990%),13.3281% (12.65691%-13.910763%),76.7432% (72.49363%-80.443228%),75.2709% (71.15553%-78.846730%),67.7197% (64.01720%-70.936915%)
Chandigarh,93.2659% (88.30528%-97.375304%),92.1811% (86.47861%-96.751151%),92.0619% (86.26307%-96.671598%),91.2947% (84.87553%-96.187713%),14.8839% (13.94642%-15.629201%),76.4108% (70.92911%-80.566136%),80.6074% (74.93223%-84.931648%),74.3843% (69.14692%-78.374852%)
Chhattisgarh,80.6146% (68.38357%-90.303006%),77.9185% (64.40622%-88.184322%),77.7588% (64.17053%-88.063223%),76.4411% (62.37335%-87.145022%),11.6329% (9.60006%-13.174463%),64.8370% (52.77329%-73.970838%),66.0181% (53.86492%-75.263987%),62.6607% (51.12394%-71.436134%)
Delhi,88.1920% (83.16814%-94.140287%),83.9960% (77.21539%-91.310495%),83.5849% (76.57255%-91.016225%),81.5455% (73.47912%-89.618440%),13.8971% (12.73118%-15.132634%),67.6587% (60.74794%-74.485806%),65.2912% (58.82333%-71.759604%),54.9872% (49.53283%-60.438421%)
Gujarat,91.5994% (84.91214%-96.276502%),90.5007% (83.20150%-95.581846%),90.2912% (82.83939%-95.434802%),88.9858% (80.85406%-94.628595%),17.6007% (16.14811%-18.603372%),71.3673% (64.70594%-76.025223%),83.8368% (76.17392%-89.154731%),74.9863% (68.13248%-79.742761%)
Haryana,79.9374% (68.85874%-91.416136%),71.5759% (56.72853%-86.739347%),69.7964% (54.01861%-85.667147%),68.6524% (52.24441%-84.977876%),12.3968% (9.59445%-15.215661%),56.2556% (42.63786%-69.762215%),60.6892% (46.18164%-75.123171%),54.6588% (41.58648%-67.660197%)
Himachal Pradesh,89.5471% (80.14457%-95.565013%),86.1955% (75.03187%-93.440305%),85.5899% (74.17975%-93.086187%),83.0447% (70.54186%-91.574376%),13.9310% (12.07381%-15.151107%),69.1138% (58.46805%-76.423269%),75.3777% (64.01404%-83.133193%),70.7846% (60.11383%-78.067162%)
Jammu & Kashmir,88.9200% (81.06443%-94.909979%),85.5722% (75.35740%-92.629691%),84.9342% (74.39392%-92.249642%),82.5288% (70.25443%-90.710200%),13.5274% (11.84867%-14.692543%),69.0300% (58.34884%-76.038510%),73.0846% (62.19737%-80.337212%),69.9593% (59.54401%-76.898942%)
Jharkhand,92.1444% (87.87433%-96.837419%),88.8915% (83.49261%-94.549681%),88.7874% (83.33180%-94.471040%),87.7509% (81.84602%-93.748972%),13.1609% (12.35226%-14.003423%),74.5832% (69.49112%-79.745550%),74.7989% (69.76450%-79.912800%),69.3906% (64.72008%-74.134859%)
Karnataka,85.7791% (78.55928%-92.894193%),80.1057% (70.39156%-89.278211%),75.8139% (63.70102%-86.212537%),67.1096% (50.21991%-79.951612%),12.2748% (10.31360%-13.958359%),54.8153% (40.03237%-65.995292%),58.6212% (43.83260%-69.863784%),52.2979% (39.11908%-62.317623%)
Kerala,88.5252% (77.12228%-95.520293%),86.7296% (74.09623%-94.540604%),86.3304% (73.48382%-94.333328%),83.6253% (69.23291%-92.894590%),12.9375% (11.01234%-14.136862%),70.7366% (58.22057%-78.757940%),71.8784% (59.49802%-79.850723%),67.8795% (56.18896%-75.407063%)
Madhya Pradesh,80.9244% (70.71781%-89.369763%),77.0193% (65.10372%-86.321753%),76.1488% (64.02678%-85.702984%),74.7617% (62.33161%-84.728995%),14.1883% (11.92969%-15.968468%),60.5906% (50.40192%-68.760527%),68.4139% (57.03747%-77.536958%),61.8520% (51.56515%-70.101132%)
